GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogIterator,5,36,4,6,1,7,4,4,0,3
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogVariable,15,50,0,2,4,10,4,8,4,7
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogDouble,0,19,0,0,0,4,0,3,0,3
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogIterator.new iTermToObject() {...},0,8,0,0,0,2,0,2,0,2
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogQuery,148,594,24,48,37,135,22,31,2,15
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogFalse,0,52,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogList.JLogListIter,4,27,1,1,1,6,1,3,0,3
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogUtil,426,421,64,47,79,103,43,22,2,7
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogScriptFactory,0,27,0,0,0,3,0,2,0,2
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogAtom,0,62,0,4,0,10,0,10,0,8
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogTrue,0,49,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogClause,13,84,7,7,5,19,6,6,0,5
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogNil,0,52,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogFail,0,49,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,jLong,147,0,32,0,43,0,27,0,11,0
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogList,68,150,6,8,9,36,6,17,3,13
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogStructure,11,164,1,5,3,33,4,12,3,10
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogTerm,79,783,27,147,22,184,33,97,8,32
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,jDouble,97,38,24,4,29,10,20,5,7,4
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,jFloat,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogEmpty,0,40,0,4,0,7,0,8,0,6
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogCut,0,54,0,4,0,8,0,9,0,7
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogInteger,0,36,0,0,0,9,0,7,0,7
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogEngine,253,721,42,69,43,198,32,66,4,36
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogFloat,0,36,0,0,0,9,0,7,0,7
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogLong,0,10,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogConverter,281,403,33,44,55,79,27,32,5,5
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLog,156,283,13,11,33,47,21,25,11,23
prolobjectlink-jpi-jlog,org.prolobjectlink.prolog.jlog,JLogNumber,2,57,0,0,1,9,1,8,1,8
