GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogFloat,0,36,0,0,0,9,0,7,0,7
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogMap.PrologMapIterator,0,58,0,2,0,11,0,4,0,3
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogProgram,10,0,0,0,3,0,2,0,2,0
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogAtom,0,36,0,0,0,8,0,6,0,6
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogEmpty,0,14,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLog,148,350,12,12,31,60,17,37,7,35
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogStructure,37,138,0,2,10,31,5,9,5,8
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,jDouble,97,38,24,4,29,10,20,5,7,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogQuery,248,679,25,47,59,150,23,31,2,16
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogMap,60,303,14,20,16,77,15,34,4,28
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogInteger,0,36,0,0,0,9,0,7,0,7
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogClauses,165,0,26,0,43,0,24,0,11,0
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogFalse,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogTerm,58,879,24,184,12,198,23,123,1,38
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogDouble,0,19,0,0,0,4,0,3,0,3
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogScriptFactory,0,27,0,0,0,3,0,2,0,2
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogClause,13,84,7,7,5,19,6,6,0,5
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogLong,0,10,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogNil,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,jLong,147,0,32,0,43,0,27,0,11,0
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogReference,10,45,0,0,3,10,2,6,2,6
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogEntry,20,127,11,11,7,31,9,15,0,13
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogIterator,5,36,4,6,1,7,4,4,0,3
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogVariable,28,50,0,2,8,10,5,8,5,7
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogEngine,242,766,30,69,48,206,29,70,7,40
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogCut,0,28,0,0,0,6,0,5,0,5
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,jMultifile,14,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogUtil,463,424,67,48,86,104,45,22,1,7
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogFail,0,23,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogList,55,137,2,8,8,35,3,16,2,12
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,jFloat,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogConverter,332,405,38,44,64,80,32,33,5,6
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogIterator.new iTermToObject() {...},0,8,0,0,0,2,0,2,0,2
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogTrue,0,23,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogList.JLogListIter,4,27,1,1,1,6,1,3,0,3
prolobjectlink-jpi-jlog,io.github.prolobjectlink.prolog.jlog,JLogNumber,0,52,0,0,0,8,0,7,0,7
